Merchant Id,Transaction Type,Merchant Order Id,Merchant Reference Id,PhonePe Reference Id,PhonePe Transaction Reference Id,PhonePe Attempt Reference Id,Transaction UTR,Total Transaction Amount,Transaction Date,Transaction Status,UPI Amount,Wallet Amount,Credit card Amount,Debit card Amount,External Wallet Amount,EGV Amount,Store Id,Terminal Id,Store Name,Terminal Name,Error Code,Detailed Error Code,Error Description,Error Source,Error Stage
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769692756844,ORDER_1769692756844,OMO2601291849187001147278W,OMO2601291849187001147278W,ORDER_1769692756844,828969414190,300.0,2026-01-29 18:49:50,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769691877715,ORDER_1769691877715,OMO2601291834381458073929W,OMO2601291834381458073929W,ORDER_1769691877715,335581751585,300.0,2026-01-29 18:34:50,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769691681012,ORDER_1769691681012,OMO2601291831224924877466W,OMO2601291831224924877466W,ORDER_1769691681012,804521127292,300.0,2026-01-29 18:31:39,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769690993400,ORDER_1769690993400,OMO2601291819538117603936W,OMO2601291819538117603936W,ORDER_1769690993400,935182714194,300.0,2026-01-29 18:20:28,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769690751889,ORDER_1769690751889,OMO2601291815521620715582W,OMO2601291815521620715582W,ORDER_1769690751889,438091366737,300.0,2026-01-29 18:16:07,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769690662064,ORDER_1769690662064,OMO2601291814223209321101W,OMO2601291814223209321101W,ORDER_1769690662064,166941025947,300.0,2026-01-29 18:14:40,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769690064726,ORDER_1769690064726,OMO2601291804253778212436W,OMO2601291804253778212436W,ORDER_1769690064726,052017970632,300.0,2026-01-29 18:04:58,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769689800040,ORDER_1769689800040,OMO2601291800006090290374W,OMO2601291800006090290374W,ORDER_1769689800040,822353143535,300.0,2026-01-29 18:00:22,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769689657103,ORDER_1769689657103,OMO2601291757373958641167W,OMO2601291757373958641167W,ORDER_1769689657103,455079767760,300.0,2026-01-29 17:58:01,ERRORED,300.0,,,,,,,,,,INSUFFICIENT_BALANCE,Z9,Payment failed due to insufficient balance in customer's account.,CUSTOMER,AUTHORIZATION
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769689369128,ORDER_1769689369128,OMO2601291752494018641751W,OMO2601291752494018641751W,ORDER_1769689369128,480869732649,300.0,2026-01-29 17:53:08,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769689355223,ORDER_1769689355223,OMO2601291752354844274810W,OMO2601291752354844274810W,ORDER_1769689355223,904769360368,300.0,2026-01-29 17:52:51,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769688230873,ORDER_1769688230873,OMO2601291733511979083069W,OMO2601291733511979083069W,ORDER_1769688230873,396326935167,300.0,2026-01-29 17:37:23,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769688347881,ORDER_1769688347881,OMO2601291735481528699838W,OMO2601291735481528699838W,ORDER_1769688347881,761583698468,300.0,2026-01-29 17:36:13,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769687970932,ORDER_1769687970932,OMO2601291729311953707078W,OMO2601291729311953707078W,ORDER_1769687970932,377943155819,300.0,2026-01-29 17:31:17,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769687124484,ORDER_1769687124484,OMO2601291715247293802169W,OMO2601291715247293802169W,ORDER_1769687124484,639581518332,300.0,2026-01-29 17:15:51,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769687023964,ORDER_1769687023964,OMO2601291713443323291987W,OMO2601291713443323291987W,ORDER_1769687023964,389601776306,300.0,2026-01-29 17:15:31,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769686697724,ORDER_1769686697724,OMO2601291708198468699125W,OMO2601291708198468699125W,ORDER_1769686697724,226649626091,300.0,2026-01-29 17:08:43,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769686295650,ORDER_1769686295650,OMO2601291701362549608391W,OMO2601291701362549608391W,ORDER_1769686295650,128776110001,300.0,2026-01-29 17:04:25,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769686232914,ORDER_1769686232914,OMO2601291700332433291978W,OMO2601291700332433291978W,ORDER_1769686232914,698297843858,300.0,2026-01-29 17:01:23,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769684617886,ORDER_1769684617886,OMO2601291633381618813907W,OMO2601291633381618813907W,ORDER_1769684617886,680760237247,300.0,2026-01-29 16:33:49,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769684032519,ORDER_1769684032519,OMO2601291623527934227325W,OMO2601291623527934227325W,ORDER_1769684032519,698295503870,300.0,2026-01-29 16:24:19,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769683642392,ORDER_1769683642392,OMO2601291617226816532691W,OMO2601291617226816532691W,ORDER_1769683642392,776944317244,300.0,2026-01-29 16:17:37,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769683410023,ORDER_1769683410023,OMO2601291613303394989396W,OMO2601291613303394989396W,ORDER_1769683410023,059840766819,300.0,2026-01-29 16:13:51,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769683056212,ORDER_1769683056212,OMO2601291607365783866840W,OMO2601291607365783866840W,ORDER_1769683056212,265192574046,300.0,2026-01-29 16:08:13,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769681832897,ORDER_1769681832897,OMO2601291547135477193905W,OMO2601291547135477193905W,ORDER_1769681832897,737465246170,300.0,2026-01-29 15:47:41,COMPLETED,300.0,,,,,,,,,,,,,,
